file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
International Liquidity (IL).csv,Paraguay,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4224,16
International Liquidity (IL).csv,Colombia,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12554,16
International Liquidity (IL).csv,Peru,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12387,16
International Liquidity (IL).csv,Ecuador,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12619,16
International Liquidity (IL).csv,Ecuador,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4257,16
International Liquidity (IL).csv,Chile,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4201,16
International Liquidity (IL).csv,Chile,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12290,16
International Liquidity (IL).csv,Uruguay,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12273,16
International Liquidity (IL).csv,Brazil,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4260,16
International Liquidity (IL).csv,Brazil,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12614,16
International Liquidity (IL).csv,Uruguay,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4149,16
International Liquidity (IL).csv,Argentina,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12255,16
International Liquidity (IL).csv,Argentina,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4138,16
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Colombia,Monthly,IMF.STA:IRFCL(12.0.0),2000-M04,2026-M07,32749,172
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Colombia,Quarterly,IMF.STA:IRFCL(12.0.0),2000-Q2,2026-Q2,10878,166
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Uruguay,Monthly,IMF.STA:IRFCL(12.0.0),2003-M08,2026-M07,18677,124
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Uruguay,Quarterly,IMF.STA:IRFCL(12.0.0),2003-Q3,2026-Q2,6254,117
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Argentina,Monthly,IMF.STA:IRFCL(12.0.0),2000-M09,2026-M07,14845,96
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Argentina,Quarterly,IMF.STA:IRFCL(12.0.0),2000-Q3,2026-Q2,4960,93
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Peru,Monthly,IMF.STA:IRFCL(12.0.0),2001-M08,2026-M07,21918,266
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Peru,Quarterly,IMF.STA:IRFCL(12.0.0),2001-Q3,2026-Q2,7452,266
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Chile,Monthly,IMF.STA:IRFCL(12.0.0),2000-M08,2026-M07,24194,270
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Chile,Quarterly,IMF.STA:IRFCL(12.0.0),2000-Q3,2026-Q2,7951,122
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Brazil,Quarterly,IMF.STA:IRFCL(12.0.0),2000-Q4,2026-Q2,7621,94
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Brazil,Monthly,IMF.STA:IRFCL(12.0.0),2000-M12,2026-M07,22833,98
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Bolivia,Monthly,IMF.STA:IRFCL(12.0.0),2015-M01,2021-M10,4462,59
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Bolivia,Quarterly,IMF.STA:IRFCL(12.0.0),2015-Q1,2021-Q3,1468,59
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Ecuador,Monthly,IMF.STA:IRFCL(12.0.0),2018-M12,2026-M07,4029,45
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Ecuador,Quarterly,IMF.STA:IRFCL(12.0.0),2018-Q4,2026-Q2,1359,45
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Paraguay,Quarterly,IMF.STA:IRFCL(12.0.0),2018-Q4,2026-Q1,6031,270
International Reserves and Foreign Currency Liquidity (IRFCL).csv,Paraguay,Monthly,IMF.STA:IRFCL(12.0.0),2018-M10,2026-M03,18083,270
International Trade in Goods (ITG).csv,Brazil,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M06,516,3
International Trade in Goods (ITG).csv,Colombia,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M04,488,2
International Trade in Goods (ITG).csv,Peru,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q2,172,2
International Trade in Goods (ITG).csv,Chile,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q2,172,2
International Trade in Goods (ITG).csv,Uruguay,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q1,170,2
International Trade in Goods (ITG).csv,Paraguay,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q2,172,2
International Trade in Goods (ITG).csv,Chile,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M06,492,2
International Trade in Goods (ITG).csv,Peru,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M06,492,2
International Trade in Goods (ITG).csv,Bolivia,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M05,490,2
International Trade in Goods (ITG).csv,Ecuador,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M04,488,2
International Trade in Goods (ITG).csv,Argentina,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M06,492,2
International Trade in Goods (ITG).csv,Brazil,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q2,172,2
International Trade in Goods (ITG).csv,Bolivia,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q1,170,2
International Trade in Goods (ITG).csv,Argentina,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q2,172,2
