entidad_publicada,entidad_clave,es_agregado,metodo_clave,celdas,meses,primer_mes,ultimo_mes,tipos
3-     Grupo Internacional de Finanzas S.A.E.C.A. (INTERFISA) (*),GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,714,23,2014-02,2015-12,financieras
3-     Grupo Internacional de Finanzas S.A.E.C.A. (INTERFISA) (**),GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,977,23,2014-02,2015-12,financieras
"Grupo Internacional de Finanzas S.A.E.C.A.
(INTERFISA BANCO)(*)",GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,2190,10,2015-03,2015-12,bancos
"Grupo Internacional de Finanzas S.A.E.C.A. 
(INTERFISA BANCO) (*)",GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,420,1,2015-02,2015-02,bancos
Grupo Internacional de Finanzas S.A.E.C.A. (INTERFISA BANCO) (*),GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,3381,23,2014-02,2015-12,bancos
Grupo Internacional de Finanzas S.A.E.C.A. (INTERFISA BANCO) (**),GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,1001,23,2014-02,2015-12,bancos
Grupo Internacional de Finanzas S.A.E.C.A. (INTERFISA),GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,19567,49,2011-01,2015-01,financieras
INTERFISA,GRUPO INTERNACIONAL DE FINANZAS,FALSE,alias_revisable,358,13,2011-11,2012-11,financieras
HSBC BANK PARAGUAY S.A.,HSBC BANK PARAGUAY,FALSE,normalizacion_automatica,708,35,2011-01,2013-11,bancos
HSBC Bank Paraguay S.A.,HSBC BANK PARAGUAY,FALSE,normalizacion_automatica,13392,35,2011-01,2013-11,"bancos,financieras"
Interbanco S.A.,INTERBANCO,FALSE,normalizacion_automatica,404,28,2011-01,2013-11,"bancos,financieras"
La Moneda Cambios S.A.,LA MONEDA CAMBIOS,FALSE,normalizacion_automatica,5937,60,2011-01,2015-12,casas_cambio
M&D Cambios S.A.,M&D CAMBIOS,FALSE,normalizacion_automatica,5765,60,2011-01,2015-12,casas_cambio
Mas Cambios S.A.,MAS CAMBIOS,FALSE,normalizacion_automatica,4753,45,2012-04,2015-12,casas_cambio
Master Exchange S.A.,MASTER EXCHANGE,FALSE,normalizacion_automatica,2544,34,2011-01,2013-10,casas_cambio
Master Exchange S.A. (*),MASTER EXCHANGE,FALSE,normalizacion_automatica,114,1,2013-11,2013-11,casas_cambio
Maxi Cambios S.A.,MAXI CAMBIOS,FALSE,normalizacion_automatica,5886,60,2011-01,2015-12,casas_cambio
Mercosur Cambios S.A.,MERCOSUR CAMBIOS,FALSE,normalizacion_automatica,5800,60,2011-01,2015-12,casas_cambio
Money Exchange S.A.,MONEY EXCHANGE,FALSE,normalizacion_automatica,5857,60,2011-01,2015-12,casas_cambio
Multi Cambios S.A.,MULTI CAMBIOS,FALSE,normalizacion_automatica,1010,14,2011-01,2012-02,casas_cambio
Mundial Cambios S.A.,MUNDIAL CAMBIOS,FALSE,normalizacion_automatica,5772,60,2011-01,2015-12,casas_cambio
New Exchange Tranfers S.A.,NEW EXCHANGE TRANFERS,FALSE,normalizacion_automatica,298,5,2011-01,2011-05,casas_cambio
Norte Cambios S.A.,NORTE CAMBIOS,FALSE,normalizacion_automatica,5838,60,2011-01,2015-12,casas_cambio
Oriente Cambios S.A.,ORIENTE CAMBIOS,FALSE,normalizacion_automatica,5720,60,2011-01,2015-12,casas_cambio
Panorama Cambios S.A.,PANORAMA CAMBIOS,FALSE,normalizacion_automatica,2944,23,2014-02,2015-12,casas_cambio
Paraguay Express Cambios S.A.,PARAGUAY EXPRESS CAMBIOS,FALSE,normalizacion_automatica,365,5,2011-01,2011-05,casas_cambio
Prime S.A. Casa Cambiaria,PRIME CASA CAMBIARIA,FALSE,normalizacion_automatica,5917,60,2011-01,2015-12,casas_cambio
Safira Cambios S.A.,SAFIRA CAMBIOS,FALSE,normalizacion_automatica,5729,60,2011-01,2015-12,casas_cambio
Santa Rita  Cambios S.A.,SANTA RITA CAMBIOS,FALSE,normalizacion_automatica,5752,60,2011-01,2015-12,casas_cambio
11- Solar S.A. de Ahorro y Préstamo para la Vivienda,SOLAR AHORRO Y FINANZAS,FALSE,alias_revisable,1170,22,2012-09,2014-06,financieras
12- Solar  Ahorro y Finanzas S.A.E.C.A.,SOLAR AHORRO Y FINANZAS,FALSE,normalizacion_automatica,234,21,2014-04,2015-12,financieras
12- Solar Ahorro y Finanzas S.A.E.C.A.,SOLAR AHORRO Y FINANZAS,FALSE,normalizacion_automatica,1170,21,2014-04,2015-12,financieras
12- Solar S.A. Ahorro y Finanzas S.A.E.C.A.,SOLAR AHORRO Y FINANZAS,FALSE,normalizacion_automatica,156,13,2014-02,2015-02,financieras
12- Solar S.A. de Ahorro y Préstamo para la Vivienda,SOLAR AHORRO Y FINANZAS,FALSE,alias_revisable,1145,21,2013-07,2015-03,financieras
SOLAR S.A.,SOLAR AHORRO Y FINANZAS,FALSE,alias_revisable,358,13,2011-11,2012-11,financieras
Solar Ahorro y Finanzas S.A.E.C.A.,SOLAR AHORRO Y FINANZAS,FALSE,normalizacion_automatica,4396,10,2015-02,2015-12,financieras
Solar S.A.,SOLAR AHORRO Y FINANZAS,FALSE,alias_revisable,9492,33,2011-01,2013-10,financieras
