periodo,periodo_de,seccion,producto_publicado,sector,moneda,tasa,valor_publicado,valor,unidad,archivo,sha256,fecha_corte,fila,columna
2011-01,titulo_hoja,CDA,CERTIFIC.DEP. DE AHORRO <=  365 DIAS,FINANCIERAS,M/E,Nominal,4.7000000000000002,4.7,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,20,8
2011-01,titulo_hoja,CDA,CERTIFIC. DEPOSITOS AHORROS > 365 DIAS,FINANCIERAS,M/E,Nominal,6.0099999999999998,6.01,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,21,8
2011-01,titulo_hoja,(*) Descripción de Préstamos de Desarrollo,--,FINANCIERAS,M/E,Nominal,38.950000000000003,38.95,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,53,8
2011-01,titulo_hoja,,PRESTAMO COMERCIAL <= 1AÑO,FINANCIERAS,M/L,Efectiva,22.859999999999999,22.86,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,8,7
2011-01,titulo_hoja,,PRESTAMO COMERCIAL > 1AÑO,FINANCIERAS,M/L,Efectiva,30.100000000000001,30.1,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,9,7
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO < = 1 AÑO  (*),FINANCIERAS,M/L,Efectiva,19.890000000000001,19.89,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,10,7
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO > 1 AÑO,FINANCIERAS,M/L,Efectiva,14.24,14.24,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,11,7
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO <= 1 AÑO,FINANCIERAS,M/L,Efectiva,29.93,29.93,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,12,7
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO > 1 AÑO,FINANCIERAS,M/L,Efectiva,31.850000000000001,31.85,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,13,7
2011-01,titulo_hoja,,PRESTAMOS POR TARJETAS DE CREDITO,FINANCIERAS,M/L,Efectiva,44.380000000000003,44.38,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,14,7
2011-01,titulo_hoja,,PROMEDIO SIMPLE TASAS ACTIVAS,FINANCIERAS,M/L,Efectiva,27.607142857142854,27.6071428571429,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,15,7
2011-01,titulo_hoja,II. PASIVAS,DEPOSITOS VISTA,FINANCIERAS,M/L,Efectiva,0.67000000000000004,0.67,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,17,7
2011-01,titulo_hoja,CDA,CERTIFIC.DEPOSITOS DE AHORROS A 180 DIAS,FINANCIERAS,M/L,Efectiva,7.6500000000000004,7.65,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,19,7
2011-01,titulo_hoja,CDA,CERTIFIC.DEP. DE AHORRO <=  365 DIAS,FINANCIERAS,M/L,Efectiva,7.0800000000000001,7.08,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,20,7
