archivo,hoja,tipo,diseno,fila,concepto,seccion,suma,n,sistema,eje,columna,es_monto,rel
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,25389.511355,2,129542.447745,entidad_en_fila,11,TRUE,-0.804006240448857
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,25669.28876,2,131060.988569,entidad_en_fila,12,TRUE,-0.804142414609624
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,27697.100498,2,135967.115366,entidad_en_fila,13,TRUE,-0.796295593802633
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,28525.403775,2,138306.624398,entidad_en_fila,14,TRUE,-0.793752440281432
2_BOLF112013_N.xls,1,financieras,nuevo,58,OTRAS ENTIDADES,,80911.975705,12,346811.60240399,entidad_en_columna,,TRUE,-0.766697610044925
2_BOLF112013_N.xls,2,financieras,nuevo,19,Diferencias de Cotiz. De Val. Públicos y Priv.,,0,12,6.195,entidad_en_columna,,TRUE,-1
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,18519.130555,2,119863.990672,entidad_en_fila,2,TRUE,-0.845498798670266
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,18844.196422,2,117678.987603,entidad_en_fila,3,TRUE,-0.839867789434317
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,19162.439965,2,120593.810247,entidad_en_fila,4,TRUE,-0.841099307454076
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,20106.937299,2,122546.640031,entidad_en_fila,5,TRUE,-0.835924205723522
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,21064.77244,2,122496.396226,entidad_en_fila,6,TRUE,-0.828037615072883
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,22246.285338,2,125042.657025,entidad_en_fila,7,TRUE,-0.822090430039788
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,23219.703744,2,127469.035884,entidad_en_fila,8,TRUE,-0.817840438009349
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,24517.772693,2,125305.13773,entidad_en_fila,9,TRUE,-0.804335455535515
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,25389.511355,2,129542.447745,entidad_en_fila,10,TRUE,-0.804006240448857
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,25669.28876,2,131060.988569,entidad_en_fila,11,TRUE,-0.804142414609624
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,27697.100498,2,135967.115366,entidad_en_fila,12,TRUE,-0.796295593802633
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,28525.403775,2,138306.624398,entidad_en_fila,13,TRUE,-0.793752440281432
2_BOLF112013_N.xls,8,financieras,nuevo,,--,,29854.802811,2,142293.173694,entidad_en_fila,14,TRUE,-0.790188088184733
2_BOLF_012014_oct.xls,1,financieras,nuevo,58,OTRAS ENTIDADES,,81807.027737,12,382290.2598251,entidad_en_columna,,TRUE,-0.786008077280266
2_BOLF_012014_oct.xls,2,financieras,nuevo,19,Diferencias de Cotiz. De Val. Públicos y Priv.,,0,12,52.85033,entidad_en_columna,,TRUE,-1
2_BOLF_022014_oct.xls,1,financieras,nuevo,58,OTRAS ENTIDADES,,149807.437726,12,352192.97294402,entidad_en_columna,,TRUE,-0.574643876413141
2_BOLF_022014_oct.xls,2,financieras,nuevo,19,Diferencias de Cotiz. De Val. Públicos y Priv.,,0,12,239.381918,entidad_en_columna,,TRUE,-1
2_BOLF_032014(1).xls,2,financieras,nuevo,19,Diferencias de Cotiz. De Val. Públicos y Priv.,,0,12,239.381918,entidad_en_columna,,TRUE,-1
2_BOLF_03_2015.xls,5,financieras,nuevo,29,Agricultura | -- | --,OTROS,7435.159671,2,559708.525288,entidad_en_columna,,TRUE,-0.986716014970159
2_BOLF_03_2015.xls,5,financieras,nuevo,31,Industria | --,OTROS,13486.96535,2,192906.199739,entidad_en_columna,,TRUE,-0.930085371189481
2_BOLF_03_2015.xls,5,financieras,nuevo,36,Exportación | -- | -- | --,OTROS,32820.958739,2,56375.286418,entidad_en_columna,,TRUE,-0.41781300239176
2_BOLF_042015_reemplaza.xls,13,financieras,nuevo,,Abril              2015,,5259.148783,13,5336.727567,entidad_en_fila,14,TRUE,-0.0145367705257645
2_BOLF_042015_reemplaza.xls,14,financieras,nuevo,,Abril              2015,,1639.086226,12,1657.259502,entidad_en_fila,14,TRUE,-0.0109658601915201
2_BOLF_042015_reemplaza.xls,15,financieras,nuevo,,Abril              2015,,244334.088638,13,250865.219,entidad_en_fila,14,TRUE,-0.0260344195502049
2_BOLF_042015_reemplaza.xls,16,financieras,nuevo,,Abril              2015,,49685.829596,13,53242.28371,entidad_en_fila,14,TRUE,-0.066797550108318
2_BOLF_042015_reemplaza.xls,17,financieras,nuevo,,Abril              2015,,16971.831491,13,16992.770821,entidad_en_fila,14,TRUE,-0.00123224930298735
2_BOLF_042015_reemplaza.xls,5,financieras,nuevo,29,Agricultura | -- | -- | --,OTROS,8037.195778,2,541882.292169,entidad_en_columna,,TRUE,-0.985168004391084
2_BOLF_042015_reemplaza.xls,5,financieras,nuevo,30,Ganadería | --,OTROS,13530.647295,2,134211.558081,entidad_en_columna,,TRUE,-0.899184187349692
2_BOLF_042015_reemplaza.xls,5,financieras,nuevo,36,Exportación | -- | -- | --,OTROS,27770.583467,2,44263.904437,entidad_en_columna,,TRUE,-0.372613333138622
