codigo,descripcion,nivel,ponderacion_publicada,ponderacion,nota,padre,fuente,archivo_origen
10403073,BEBIDA LÁCTEA A BASE DE LECHE,4,"0,180",0.18,,10403000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10403074,CREMA DE LECHE,4,"0,041",0.041,,10403000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10404000,QUESOS,3,"0,901",0.901,,10400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10404075,QUESO PARAGUAY O FRESCO,4,"0,446",0.446,,10404000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10404076,QUESO SÁNDWICH,4,"0,340",0.34,,10404000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10404077,QUESO MUZARELLA,4,"0,069",0.069,,10404000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10404078,QUESO RALLADO,4,"0,047",0.047,,10404000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10405000,HUEVOS,3,"0,451",0.451,,10400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10405079,HUEVOS DE GALLINA,4,"0,451",0.451,,10405000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10500000,ACEITES Y MANTECAS,2,"0,437",0.437,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10501000,ACEITES,3,"0,365",0.365,,10500000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10501080,ACEITE DE GIRASOL,4,"0,303",0.303,,10501000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10501081,ACEITE DE OLIVA,4,"0,021",0.021,,10501000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10501082,ACEITE DE SOJA,4,"0,026",0.026,,10501000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10501083,ACEITE MEZCLA,4,"0,015",0.015,,10501000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10502000,MANTECAS,3,"0,072",0.072,,10500000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10502084,MANTECA,4,"0,048",0.048,,10502000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10502085,MARGARINA,4,"0,024",0.024,,10502000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10600000,FRUTAS,2,"1,544",1.544,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601000,FRUTAS FRESCAS,3,"1,485",1.485,,10600000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601086,NARANJA,4,"0,238",0.238,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601087,BANANA,4,"0,586",0.586,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601088,MANZANA,4,"0,252",0.252,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601089,PERA,4,"0,103",0.103,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601090,PIÑA,4,"0,112",0.112,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601091,LIMÓN,4,"0,033",0.033,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10601092,OTRAS FRUTAS FRESCAS,4,"0,160",0.16,,10601000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
