vintage_id,source_id,source_sheet,release_id,numeric_source_cells,accepted_observations,rejected_observations,documented_exclusions,many_to_one_allowance,balance_delta,status,note,checked_at,accepted_cells,cell_reuse,unmapped_in_region,out_of_region_cells,classified_cells,unclassified_cells,parser_defect_cells
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2020(DatosDiarios),release:dcbccb827b93ee2362ab3c56,3241,3000,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3000,0,0,241,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 57a,release:dcbccb827b93ee2362ab3c56,12,12,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,12,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 61,release:dcbccb827b93ee2362ab3c56,26652,26306,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,26306,0,0,346,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_01,release:dcbccb827b93ee2362ab3c56,700,700,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,700,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_08,release:dcbccb827b93ee2362ab3c56,2773,2773,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2773,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_10,release:dcbccb827b93ee2362ab3c56,1224,1224,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1224,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 24,release:dcbccb827b93ee2362ab3c56,2933,2590,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2590,0,0,343,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 39,release:dcbccb827b93ee2362ab3c56,3466,3458,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3458,0,0,8,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 53a,release:dcbccb827b93ee2362ab3c56,59661,58259,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,58259,0,0,1402,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 9,release:dcbccb827b93ee2362ab3c56,1170,780,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,780,0,0,390,0,0,0
compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,compensatory_fx_sales,Ventas(DatosMensuales),release:dcbccb827b93ee2362ab3c56,422,417,0,5,0,0,balanced,Every numeric cell in the parsed region is an observation or a classified non-observation (5 classified).,2026-09-14T23:20:57Z,417,0,5,0,5,0,0
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,1.1,release:dcbccb827b93ee2362ab3c56,5889,5889,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5889,0,0,0,0,0,0
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,1.2,release:dcbccb827b93ee2362ab3c56,5888,5888,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5888,0,0,0,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2019,release:dcbccb827b93ee2362ab3c56,1122,762,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,762,0,0,360,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.8,release:dcbccb827b93ee2362ab3c56,374,374,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,374,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.18,release:dcbccb827b93ee2362ab3c56,1326,1326,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1326,0,0,0,0,0,0
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,1,release:dcbccb827b93ee2362ab3c56,1638,1512,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1512,0,0,126,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,CCC 04,release:dcbccb827b93ee2362ab3c56,3574,3574,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3574,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,OMP 01_02,release:dcbccb827b93ee2362ab3c56,434,434,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,434,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,CCE,release:dcbccb827b93ee2362ab3c56,140,140,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,140,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 30,release:dcbccb827b93ee2362ab3c56,1743,1416,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1416,0,0,327,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 32 A,release:dcbccb827b93ee2362ab3c56,1302,1140,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1140,0,0,162,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 50,release:dcbccb827b93ee2362ab3c56,5539,5083,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5083,0,0,456,0,0,0
